P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,
,,,,,,,,,,,RP,Andrew Miller (6482807),Andrew Miller,6482807,4000,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,SP,Steven Wright (6482771),Steven Wright,6482771,4000,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,RP,Zach McAllister (6482823),Zach McAllister,6482823,4000,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,RP,Dellin Betances (6482808),Dellin Betances,6482808,4000,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,RP,Will Harris (6482809),Will Harris,6482809,4000,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,RP,Jeff Manship (6482824),Jeff Manship,6482824,4000,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,RP,Luke Gregerson (6482810),Luke Gregerson,6482810,4000,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,RP,Antonio Bastardo (6482792),Antonio Bastardo,6482792,4000,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,SP,Ross Detwiler (6482774),Ross Detwiler,6482774,4000,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,RP,Dan Otero (6482825),Dan Otero,6482825,4000,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,RP,Tommy Hunter (6482826),Tommy Hunter,6482826,4000,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,RP,Josh Fields (6482811),Josh Fields,6482811,4000,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,RP,Greg Holland (6482793),Greg Holland,6482793,4000,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,RP,Tommy Layne (6482827),Tommy Layne,6482827,4000,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,RP,Tim Collins (6482794),Tim Collins,6482794,4000,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,RP,Robbie Ross Jr. (6482828),Robbie Ross Jr.,6482828,4000,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,RP,Craig Kimbrel (6482829),Craig Kimbrel,6482829,4000,Bos@Cle 01:10PM ET,Bos
